ID,Money related,Personal information related,Inducement words related,Promotional content related,Kinship related,Label
2714,card,account,accident,sales,parents,1
2715,taxes,id,message,activity,son,1
2716,insurance,id,irs,gift,son,1
2717,money,id,problem,sales,son,1
2718,card,id,message,gift,son,1
2719,taxes,id,irs,service,son,1
2720,bill,details,message,service,son,1
2721,bank,id,irs,service,son,1
2722,insurance,id,irs,sales,mother,1
2723,insurance,id,irs,sales,husband,1
2724,dollars,id,irs,sales,parents,1
2725,bank,account,irs,gift,son,1
2726,warrant,address,virus,activity,son,1
2727,bill,information,irs,sales,son,1
2728,taxes,id,irs,gift,children,1
2729,bill,account,help,activity,son,1
2730,dollars,id,irs,gift,husband,1
2731,insurance,id,irs,gift,son,1
2732,insurance,id,irs,gift,children,1
2733,warrant,details,irs,service,son,1
2734,insurance,information,message,gift,son,1
2735,bill,id,irs,gift,son,1
2736,taxes,address,message,gift,son,1
2737,taxes,id,message,gift,husband,1
2738,money,address,security,offer,son,1
2739,bill,id,message,sales,husband,1
2740,money,account,irs,site,husband,1
2741,card,id,support,sales,husband,1
2742,insurance,id,irs,gift,son,1
2743,insurance,id,access,sales,children,1
2744,bank,id,virus,sales,son,1
2745,money,information,irs,sales,son,1
2746,bank,account,irs,gift,husband,1
2747,insurance,id,message,gift,son,1
2748,insurance,account,irs,gift,son,1
2749,bank,details,security,gift,son,1
2750,dollars,id,support,service,husband,1
2751,bill,id,irs,service,son,1
2752,bill,id,problem,sales,son,1
2753,money,id,irs,gift,son,1
2754,money,details,irs,gift,husband,1
2755,card,id,irs,sales,husband,1
2756,bank,id,message,gift,husband,1
2757,dollars,id,irs,gift,son,1
2758,insurance,id,irs,service,son,1
2759,taxes,address,irs,sales,wife,1
2760,bank,id,help,course,husband,1
2761,card,id,support,sales,husband,1
2762,bank,account,help,gift,son,1
2763,bill,id,problem,gift,children,1
2764,money,account,irs,gift,husband,1
2765,money,id,irs,gift,children,1
2766,insurance,id,police,sales,son,1
2767,bank,id,irs,gift,wife,1
2768,insurance,id,irs,gift,husband,1
2769,taxes,id,irs,offer,son,1
2770,bank,id,irs,gift,son,1
2771,bank,account,help,gift,dad,1
2772,bank,address,irs,gift,husband,1
2773,money,id,irs,gift,mother,1
2774,taxes,account,accident,gift,husband,1
2775,bank,email,support,sales,son,1
2776,bill,address,problem,sales,son,1
2777,money,id,irs,gift,son,1
2778,money,details,help,gift,son,1
2779,money,account,irs,gift,son,1
2780,dollars,account,virus,sales,son,1
2781,dollars,id,irs,activity,husband,1
2782,money,id,irs,gift,son,1
2783,insurance,id,irs,gift,son,1
2784,insurance,id,irs,service,husband,1
2785,insurance,id,irs,gift,son,1
2786,bank,id,support,sales,husband,1
2787,money,id,problem,gift,husband,1
2788,money,id,irs,gift,parents,1
2789,bank,id,problem,gift,son,1
2790,bill,id,police,offer,son,1
2791,money,id,message,sales,son,1
2792,card,id,irs,sales,son,1
2793,card,id,government,sales,son,1
2794,money,id,support,service,son,1
2795,bank,id,help,service,son,1
2796,dollars,account,irs,gift,son,1
2797,money,account,irs,gift,husband,1
2798,insurance,id,irs,activity,son,1
2799,money,id,police,gift,husband,1
2800,taxes,account,police,gift,son,1
2801,bank,id,arrest,gift,son,1
2802,taxes,address,support,gift,children,1
2803,warrant,account,irs,system,son,1
2804,card,id,irs,gift,son,1
2805,card,id,irs,service,son,1
2806,card,id,message,sales,son,1
2807,bank,details,virus,order,son,1
2808,bank,address,irs,gift,son,1
2809,bank,id,virus,offer,son,1
2810,warrant,account,irs,gift,husband,1
2811,bank,email,irs,sales,wife,1
2812,insurance,id,security,service,son,1
2813,dollars,id,problem,sales,son,1
2814,money,id,message,sales,son,1
2815,insurance,id,message,sales,son,1
2816,money,id,irs,gift,son,1
2817,dollars,id,irs,service,son,1
2818,bank,account,irs,gift,husband,1
2819,card,id,help,sales,son,1
2820,warrant,id,irs,gift,husband,1
2821,insurance,account,irs,service,son,1
2822,insurance,account,irs,gift,mother,1
2823,bill,id,support,offer,son,1
2824,bank,address,irs,course,son,1
2825,money,address,irs,course,husband,1
2826,money,id,irs,service,husband,1
2827,money,id,irs,site,wife,1
2828,insurance,id,irs,gift,wife,1
2829,money,account,irs,gift,husband,1
2830,insurance,details,irs,sales,son,1
2831,bank,account,irs,course,son,1
2832,bill,id,irs,order,son,1
2833,insurance,account,irs,gift,son,1
2834,bank,id,help,sales,son,1
2835,money,id,irs,sales,wife,1
2836,money,account,irs,gift,son,1
2837,warrant,account,irs,course,son,1
2838,card,address,help,sales,son,1
2839,money,account,irs,gift,husband,1
2840,bill,address,irs,service,son,1
2841,bill,account,irs,gift,son,1
2842,taxes,id,irs,gift,son,1
2843,bill,id,irs,system,husband,1
2844,bank,information,irs,order,son,1
2845,insurance,account,irs,gift,wife,1
2846,money,id,irs,service,son,1
2847,taxes,account,irs,sales,son,1
2848,taxes,id,irs,sales,son,1
2849,bill,id,irs,gift,wife,1
2850,card,id,irs,offer,son,1
2851,bank,address,message,program,son,1
2852,money,account,irs,internet,children,1
2853,warrant,account,irs,gift,husband,1
2854,insurance,id,irs,site,son,1
2855,insurance,id,irs,sales,son,1
2856,money,account,virus,gift,husband,1
2857,bill,id,irs,gift,wife,1
2858,money,id,irs,sales,son,1
2859,taxes,id,irs,site,son,1
2860,insurance,id,irs,gift,children,1
2861,bank,account,irs,gift,mother,1
2862,bank,account,security,internet,son,1
2863,bill,id,irs,service,son,1
2864,dollars,account,accident,service,husband,1
2865,bank,details,irs,sales,husband,1
2866,insurance,id,police,gift,son,1
2867,money,id,irs,gift,husband,1
2868,bank,id,security,offer,son,1
2869,warrant,id,irs,gift,children,1
2870,taxes,id,support,sales,son,1
2871,warrant,id,irs,service,children,1
2872,insurance,id,message,sales,son,1
2873,card,id,message,gift,wife,1
2874,insurance,details,support,sales,son,1
2875,money,id,irs,offer,son,1
2876,money,id,irs,gift,husband,1
2877,warrant,id,irs,gift,son,1
2878,money,email,security,gift,son,1
2879,warrant,id,irs,sales,son,1
2880,money,id,access,sales,son,1
2881,bill,id,help,offer,son,1
2882,money,id,help,service,son,1
2883,money,details,irs,sales,son,1
2884,insurance,id,message,gift,son,1
2885,bank,id,irs,order,husband,1
2886,card,id,access,sales,son,1
2887,bill,id,support,gift,son,1
2888,money,account,arrest,offer,husband,1
2889,insurance,id,irs,service,son,1
2890,insurance,id,irs,system,son,1
2891,insurance,id,support,course,husband,1
2892,warrant,id,irs,gift,son,1
2893,bill,information,message,sales,son,1
2894,warrant,information,arrest,internet,wife,1
2895,bank,id,irs,activity,dad,1
2896,bill,id,irs,course,wife,1
2897,bank,id,irs,gift,children,1
2898,warrant,id,message,sales,dad,1
2899,money,id,irs,sales,son,1
2900,bill,id,accident,sales,son,1
2901,bank,information,message,sales,son,1
2902,money,account,security,gift,son,1
2903,insurance,id,irs,sales,wife,1
2904,warrant,id,irs,sales,wife,1
2905,money,account,security,sales,son,1
2906,bill,id,irs,sales,husband,1
2907,card,details,irs,order,husband,1
2908,taxes,id,police,order,mother,1
2909,warrant,account,irs,activity,son,1
2910,card,id,help,gift,son,1
2911,taxes,address,problem,offer,son,1
2912,money,information,irs,gift,husband,1
2913,bill,id,security,gift,mother,1
2914,bill,account,message,gift,son,1
2915,bank,account,message,gift,husband,1
2916,bank,details,police,sales,son,1
2917,insurance,id,problem,site,wife,1
2918,insurance,id,device,offer,son,1
2919,bank,id,irs,system,children,1
2920,insurance,id,irs,service,son,1
2921,warrant,id,virus,service,wife,1
2922,bank,email,accident,gift,children,1
2923,money,id,irs,gift,husband,1
2924,bill,id,security,sales,son,1
2925,bank,id,police,gift,husband,1
2926,money,information,irs,gift,son,1
2927,taxes,id,irs,gift,husband,1
2928,insurance,id,help,gift,mother,1
2929,bill,address,message,site,son,1
2930,warrant,information,police,order,son,1
2931,insurance,account,police,sales,mother,1
2932,taxes,id,arrest,sales,husband,1
2933,insurance,id,help,course,wife,1
2934,dollars,account,irs,gift,husband,1
2935,dollars,account,government,internet,husband,1
2936,warrant,id,irs,gift,son,1
2937,warrant,account,irs,gift,son,1
2938,insurance,information,support,gift,son,1
2939,money,account,accident,sales,husband,1
2940,bank,id,arrest,sales,son,1
2941,money,id,irs,gift,dad,1
2942,bank,id,support,service,wife,1
2943,bill,id,device,activity,son,1
2944,insurance,id,irs,gift,son,1
2945,dollars,id,police,system,son,1
2946,money,id,accident,gift,husband,1
2947,card,id,irs,service,son,1
2948,bill,details,support,order,son,1
2949,taxes,account,irs,gift,son,1
2950,money,id,arrest,gift,son,1
2951,warrant,account,security,service,son,1
2952,insurance,id,irs,sales,son,1
2953,warrant,information,help,gift,son,1
2954,bank,id,irs,gift,son,1
2955,insurance,id,help,course,son,1
2956,credit,id,problem,service,son,1
2957,money,id,irs,sales,son,1
2958,insurance,account,help,sales,son,1
2959,money,id,irs,service,son,1
2960,taxes,id,support,gift,son,1
2961,insurance,id,irs,gift,husband,1
2962,bill,id,irs,service,son,1
2963,money,account,irs,gift,children,1
2964,money,information,irs,gift,son,1
2965,card,address,support,gift,son,1
2966,money,account,problem,sales,husband,1
2967,dollars,id,security,sales,son,1
2968,card,id,support,gift,son,1
2969,bank,id,irs,gift,wife,1
2970,warrant,id,support,system,husband,1
2971,bill,information,police,gift,son,1
2972,money,id,irs,sales,son,1
2973,money,id,irs,sales,husband,1
2974,money,information,irs,service,son,1
2975,card,account,virus,gift,son,1
2976,credit,id,irs,order,son,1
2977,money,id,irs,gift,mother,1
2978,insurance,id,police,course,son,1
2979,insurance,id,irs,gift,husband,1
2980,bill,account,security,internet,son,1
2981,money,id,irs,gift,parents,1
2982,money,id,virus,sales,husband,1
2983,insurance,account,irs,gift,husband,1
2984,money,account,problem,sales,husband,1
2985,warrant,id,irs,gift,wife,1
2986,bank,account,support,sales,son,1
2987,money,account,irs,gift,son,1
2988,insurance,email,irs,sales,husband,1
2989,money,email,irs,offer,son,1
2990,bank,id,irs,internet,son,1
2991,taxes,address,irs,sales,son,1
2992,insurance,id,irs,sales,son,1
2993,insurance,id,irs,sales,son,1
2994,insurance,id,help,sales,son,1
2995,credit,account,irs,order,son,1
2996,money,details,irs,gift,son,1
2997,money,id,irs,system,husband,1
2998,taxes,address,irs,gift,son,1
2999,money,id,help,gift,children,1
3000,money,id,irs,sales,son,1
3001,money,id,problem,sales,son,1
3002,taxes,id,government,gift,son,1
3003,bill,account,irs,offer,son,1
3004,bank,id,irs,internet,son,1
3005,money,account,accident,sales,husband,1
3006,insurance,id,message,activity,son,1
3007,bank,id,irs,gift,son,1
3008,money,information,irs,gift,son,1
3009,money,id,police,service,husband,1
3010,bank,information,message,gift,husband,1
3011,insurance,id,irs,course,son,1
3012,money,id,irs,gift,husband,1
3013,bank,email,irs,gift,children,1
3014,taxes,id,help,sales,husband,1
3015,money,id,irs,service,husband,1
3016,bank,id,irs,sales,son,1
3017,card,account,irs,sales,son,1
3018,bill,id,irs,sales,son,1
3019,warrant,id,support,sales,son,1
3020,warrant,id,problem,activity,son,1
3021,insurance,id,irs,gift,son,1
3022,taxes,id,irs,system,husband,1
3023,bank,id,security,gift,son,1
3024,bill,id,police,service,mother,1
3025,bank,id,security,gift,son,1
3026,dollars,details,arrest,sales,son,1
3027,insurance,id,message,system,son,1
3028,warrant,id,virus,sales,husband,1
3029,insurance,address,message,service,son,1
3030,money,id,help,order,son,1
3031,money,id,irs,gift,children,1
3032,bill,id,police,gift,son,1
3033,bank,id,security,sales,son,1
3034,insurance,id,police,gift,husband,1
3035,dollars,email,problem,service,wife,1
3036,money,information,irs,gift,husband,1
3037,bill,account,arrest,gift,son,1
3038,money,id,irs,gift,husband,1
3039,warrant,address,message,sales,children,1
3040,dollars,id,irs,system,mother,1
3041,money,account,irs,gift,husband,1
3042,money,account,irs,service,son,1
3043,insurance,id,irs,sales,son,1
3044,insurance,id,irs,gift,husband,1
3045,insurance,id,help,gift,son,1
3046,insurance,information,message,gift,dad,1
3047,money,account,irs,internet,son,1
3048,bank,id,problem,sales,son,1
3049,bank,account,support,sales,mother,1
3050,bill,id,security,offer,son,1
3051,card,address,support,sales,son,1
3052,insurance,id,irs,gift,son,1
3053,card,address,device,service,son,1
3054,money,id,irs,system,husband,1
3055,bill,id,support,sales,son,1
3056,bank,id,irs,service,husband,1
3057,money,id,irs,sales,son,1
3058,dollars,id,problem,gift,husband,1
3059,insurance,id,irs,sales,son,1
3060,bank,account,irs,gift,husband,1
3061,insurance,account,irs,gift,son,1
3062,card,id,irs,gift,son,1
3063,bank,id,irs,sales,son,1
3064,money,account,irs,sales,husband,1
3065,card,account,accident,sales,son,1
3066,bill,account,irs,gift,son,1
3067,dollars,id,message,gift,husband,1
3068,money,email,irs,program,son,1
3069,bank,address,support,sales,son,1
3070,bill,id,police,sales,husband,1
3071,bank,account,irs,gift,mother,1
3072,bill,details,support,sales,son,1
3073,warrant,id,irs,gift,wife,1
3074,dollars,account,irs,gift,son,1
3075,insurance,id,irs,gift,son,1
3076,warrant,id,message,sales,son,1
3077,bank,id,irs,gift,son,1
3078,insurance,id,police,sales,son,1
3079,money,id,irs,gift,husband,1
3080,insurance,account,support,gift,son,1
3081,money,account,irs,gift,husband,1
3082,money,account,police,sales,mother,1
3083,card,id,irs,sales,son,1
3084,insurance,account,irs,gift,son,1
3085,taxes,id,irs,sales,son,1
3086,bill,id,irs,gift,husband,1
3087,warrant,address,irs,gift,son,1
3088,card,account,support,sales,son,1
3089,bill,id,police,sales,son,1
3090,money,id,support,internet,son,1
3091,credit,id,irs,offer,son,1
3092,bank,account,irs,system,husband,1
3093,bill,account,irs,sales,husband,1
3094,warrant,details,security,order,son,1
3095,money,details,irs,gift,son,1
3096,bank,id,irs,gift,son,1
3097,money,id,irs,sales,husband,1
3098,money,email,problem,gift,wife,1
3099,bank,id,help,sales,son,1
3100,bank,account,irs,sales,wife,1
3101,money,id,security,sales,son,1
3102,insurance,details,irs,sales,son,1
3103,insurance,id,irs,sales,son,1
3104,bill,address,irs,gift,son,1
3105,dollars,id,irs,gift,husband,1
3106,bank,account,support,sales,children,1
3107,insurance,id,irs,gift,son,1
3108,bank,id,support,service,son,1
3109,bank,id,irs,telemarketer,son,1
3110,bill,id,irs,sales,son,1
3111,bank,id,irs,gift,son,1
3112,bank,account,security,sales,son,1
3113,warrant,id,irs,internet,son,1
3114,insurance,id,problem,gift,husband,1
3115,money,id,irs,gift,dad,1
3116,insurance,id,irs,course,son,1
3117,card,information,problem,sales,husband,1
3118,bill,id,message,system,husband,1
3119,money,id,irs,gift,children,1
3120,money,account,irs,gift,husband,1
3121,money,id,support,order,husband,1
3122,bill,id,irs,gift,wife,1
3123,warrant,id,support,internet,son,1
3124,warrant,id,irs,gift,son,1
3125,insurance,account,problem,gift,son,1
3126,money,account,irs,gift,husband,1
3127,bank,address,irs,site,son,1
3128,money,id,support,course,husband,1
3129,money,id,irs,sales,son,1
3130,money,address,irs,sales,son,1
3131,bill,id,security,service,son,1
3132,money,account,irs,sales,son,1
3133,money,address,accident,gift,son,1
3134,bank,account,irs,sales,dad,1
3135,bank,id,security,internet,son,1
3136,money,id,irs,gift,husband,1
3137,bill,account,problem,course,son,1
3138,bill,account,security,sales,son,1
3139,insurance,id,problem,gift,son,1
3140,insurance,id,irs,sales,husband,1
3141,insurance,id,message,gift,husband,1
3142,dollars,id,irs,gift,husband,1
3143,bank,account,security,gift,son,1
3144,money,id,irs,sales,son,1
3145,bank,id,irs,gift,wife,1
3146,money,id,problem,order,son,1
3147,insurance,details,security,sales,son,1
3148,bill,account,irs,sales,son,1
3149,bill,id,irs,gift,son,1
3150,insurance,id,irs,sales,mother,1
3151,warrant,id,support,internet,son,1
3152,dollars,account,irs,site,son,1
3153,bank,id,irs,sales,husband,1
3154,insurance,id,help,sales,husband,1
3155,insurance,account,support,sales,son,1
3156,insurance,id,irs,gift,son,1
3157,money,id,support,sales,son,1
3158,bank,id,irs,gift,dad,1
3159,bill,id,message,activity,husband,1
3160,money,id,message,gift,son,1
3161,insurance,id,irs,gift,son,1
3162,bill,id,virus,gift,son,1
3163,bank,id,irs,gift,husband,1
3164,insurance,id,irs,sales,husband,1
3165,insurance,id,irs,course,wife,1
3166,bank,id,police,internet,dad,1
3167,insurance,account,police,sales,wife,1
3168,bank,id,security,gift,wife,1
3169,money,id,message,course,husband,1
3170,taxes,id,security,course,son,1
3171,bill,id,virus,sales,wife,1
3172,bank,id,security,sales,son,1
3173,warrant,information,irs,order,son,1
3174,insurance,id,irs,telemarketer,children,1
3175,bill,address,problem,sales,son,1
3176,card,id,irs,sales,husband,1
3177,money,id,support,sales,son,1
3178,money,id,problem,sales,husband,1
3179,insurance,id,access,sales,son,1
3180,insurance,address,irs,gift,son,1
3181,bill,id,device,gift,son,1
3182,money,account,irs,sales,son,1
3183,bank,account,irs,sales,son,1
3184,bank,address,accident,gift,son,1
3185,money,address,police,offer,parents,1
3186,bank,id,arrest,gift,husband,1
3187,bank,id,access,sales,husband,1
3188,insurance,id,support,sales,son,1
3189,money,id,problem,sales,husband,1
3190,bill,account,support,internet,husband,1
3191,bank,id,police,gift,husband,1
3192,bank,id,irs,sales,son,1
3193,money,id,irs,sales,son,1
3194,insurance,account,security,gift,husband,1
3195,card,id,irs,gift,husband,1
3196,warrant,id,irs,gift,son,1
3197,bill,id,irs,gift,son,1
3198,card,id,help,offer,son,1
3199,insurance,id,problem,gift,son,1
3200,bank,account,irs,gift,husband,1
3201,insurance,id,help,sales,son,1
3202,money,id,irs,sales,husband,1
3203,money,id,message,gift,husband,1
3204,bank,account,irs,sales,son,1
3205,insurance,id,irs,sales,son,1
3206,money,id,irs,gift,son,1
3207,warrant,account,arrest,gift,husband,1
3208,dollars,account,support,gift,son,1
3209,bill,information,irs,offer,son,1
3210,money,id,irs,service,son,1
3211,bill,id,accident,offer,son,1
3212,money,details,irs,gift,children,1
3213,insurance,details,irs,gift,son,1
3214,money,address,irs,sales,son,1
3215,warrant,address,message,gift,children,1
3216,bill,id,problem,sales,son,1
3217,insurance,id,support,service,son,1
3218,bank,id,arrest,order,son,1
3219,insurance,id,irs,sales,children,1
3220,bill,id,accident,system,children,1
3221,bank,id,irs,gift,dad,1
3222,bank,id,government,gift,son,1
3223,insurance,account,irs,gift,mother,1
3224,card,account,irs,gift,son,1
3225,money,id,problem,sales,son,1
3226,dollars,id,irs,gift,son,1
3227,warrant,id,irs,gift,son,1
3228,warrant,email,accident,sales,son,1
3229,money,id,irs,gift,husband,1
3230,bill,account,irs,internet,son,1
3231,insurance,account,problem,sales,wife,1
3232,warrant,id,irs,gift,dad,1
3233,taxes,id,police,sales,son,1
3234,money,id,irs,offer,son,1
3235,money,id,irs,gift,son,1
3236,bill,id,virus,gift,son,1
3237,warrant,id,irs,service,husband,1
3238,money,id,security,gift,son,1
3239,money,id,irs,gift,son,1
3240,insurance,id,accident,gift,son,1
3241,bank,account,support,sales,children,1
3242,bill,id,problem,sales,son,1
3243,taxes,id,irs,gift,son,1
3244,insurance,account,help,sales,son,1
3245,money,account,problem,system,son,1
3246,insurance,id,irs,sales,son,1
3247,insurance,id,irs,sales,son,1
3248,money,id,security,order,son,1
3249,money,id,problem,gift,son,1
3250,card,id,police,gift,son,1
3251,dollars,id,help,sales,husband,1
3252,bank,id,arrest,service,son,1
3253,money,id,irs,sales,husband,1
3254,bank,address,irs,sales,son,1
3255,bill,id,message,sales,son,1
3256,card,account,security,service,son,1
3257,insurance,id,irs,gift,husband,1
3258,bill,id,message,sales,son,1
3259,insurance,id,problem,sales,son,1
3260,bill,account,problem,gift,son,1
3261,bill,account,support,gift,son,1
3262,money,id,irs,sales,son,1
3263,bill,id,irs,sales,son,1
3264,warrant,account,government,system,son,1
3265,money,address,irs,gift,husband,1
3266,insurance,account,irs,offer,son,1
3267,bank,address,irs,gift,wife,1
3268,insurance,id,police,gift,husband,1
3269,insurance,id,irs,service,son,1
3270,bank,id,irs,gift,son,1
3271,warrant,id,irs,sales,wife,1
3272,bank,id,irs,site,husband,1
3273,bank,information,irs,system,son,1
3274,bank,account,irs,gift,dad,1
3275,dollars,id,irs,order,son,1
3276,money,address,problem,system,son,1
3277,bill,id,security,sales,husband,1
3278,money,id,irs,sales,son,1
3279,money,id,problem,order,son,1
3280,money,id,irs,sales,son,1
3281,money,account,security,gift,son,1
3282,money,email,support,gift,son,1
3283,warrant,id,virus,sales,son,1
3284,bank,account,irs,gift,children,1
3285,money,id,support,program,son,1
3286,dollars,id,irs,gift,husband,1
3287,insurance,account,problem,order,son,1
3288,money,id,message,sales,son,1
3289,bill,id,problem,sales,mother,1
3290,insurance,id,irs,sales,son,1
3291,bill,information,irs,sales,son,1
3292,insurance,id,irs,gift,husband,1
3293,bill,id,irs,gift,son,1
3294,bank,information,accident,course,son,1
3295,money,id,irs,service,children,1
3296,taxes,id,support,order,husband,1
3297,money,account,problem,service,son,1
3298,money,id,help,sales,son,1
3299,money,id,accident,service,husband,1
3300,taxes,id,irs,service,son,1
3301,bill,details,irs,gift,son,1
3302,warrant,id,irs,offer,son,1
3303,taxes,information,irs,internet,son,1
3304,bill,address,irs,sales,husband,1
3305,insurance,id,security,service,son,1
3306,card,id,police,gift,son,1
3307,warrant,id,irs,gift,son,1
3308,insurance,id,irs,sales,son,1
3309,insurance,account,problem,gift,son,1
3310,money,account,problem,gift,husband,1
3311,money,email,irs,gift,parents,1
3312,taxes,id,access,site,husband,1
3313,bill,id,accident,offer,son,1
3314,warrant,account,support,internet,son,1
3315,bill,id,irs,system,son,1
3316,taxes,id,irs,course,son,1
3317,bill,id,irs,gift,son,1
3318,card,id,irs,gift,dad,1
3319,bank,details,irs,gift,husband,1
3320,bill,id,irs,gift,son,1
3321,insurance,id,irs,gift,son,1
3322,insurance,id,problem,gift,son,1
3323,insurance,id,irs,gift,husband,1
3324,dollars,details,support,telemarketer,son,1
3325,warrant,id,irs,gift,children,1
3326,bank,information,message,gift,son,1
3327,card,id,irs,sales,son,1
3328,money,id,irs,gift,husband,1
3329,bank,id,police,telemarketer,son,1
3330,card,account,police,gift,son,1
3331,bill,id,irs,service,son,1
3332,insurance,account,irs,sales,son,1
3333,insurance,id,help,system,son,1
3334,card,address,irs,gift,son,1
3335,money,account,government,gift,son,1
3336,insurance,id,message,sales,son,1
3337,money,email,problem,internet,mother,1
3338,warrant,id,access,course,son,1
3339,bill,details,irs,sales,son,1
3340,money,id,irs,sales,children,1
3341,insurance,id,irs,sales,son,1
3342,money,id,problem,sales,son,1
3343,bank,id,irs,activity,son,1
3344,taxes,id,message,gift,husband,1
3345,taxes,address,support,sales,son,1
3346,warrant,account,irs,sales,son,1
3347,insurance,id,irs,sales,son,1
3348,bank,account,irs,sales,son,1
3349,insurance,id,irs,gift,son,1
3350,insurance,id,problem,sales,son,1
3351,card,account,accident,gift,husband,1
3352,bill,id,irs,offer,son,1
3353,warrant,id,irs,gift,husband,1
3354,money,account,irs,internet,husband,1
3355,taxes,id,irs,internet,children,1
3356,insurance,account,irs,sales,son,1
3357,bill,account,irs,offer,son,1
3358,warrant,address,irs,sales,son,1
3359,bank,id,irs,gift,husband,1
3360,bill,id,irs,sales,son,1
3361,card,id,irs,gift,husband,1
3362,warrant,id,police,gift,parents,1
3363,insurance,address,irs,sales,son,1
3364,bill,details,security,gift,son,1
3365,taxes,id,irs,offer,son,1
3366,money,id,irs,gift,son,1
3367,credit,id,problem,gift,son,1
3368,insurance,id,virus,sales,wife,1
3369,bill,address,irs,site,son,1
3370,bank,account,irs,gift,son,1
3371,bill,address,irs,gift,son,1
3372,dollars,address,help,site,son,1
3373,insurance,id,irs,gift,son,1
3374,money,id,security,gift,son,1
3375,taxes,details,support,internet,son,1
3376,bill,id,support,gift,son,1
3377,money,id,message,gift,husband,1
3378,money,account,help,sales,son,1
3379,dollars,id,problem,service,children,1
3380,money,address,irs,system,son,1
3381,bill,id,irs,service,son,1
3382,dollars,id,problem,system,son,1
3383,bill,details,irs,sales,son,1
3384,bank,id,problem,service,mother,1
3385,money,id,virus,sales,husband,1
3386,credit,address,government,system,son,1
3387,insurance,id,problem,service,son,1
3388,bank,id,police,course,son,1
3389,warrant,account,help,internet,children,1
3390,bank,id,irs,service,husband,1
3391,money,account,irs,order,son,1
3392,money,id,security,gift,son,1
3393,bill,id,security,service,son,1
3394,card,id,irs,sales,son,1
3395,bill,information,irs,offer,son,1
3396,warrant,id,message,gift,son,1
3397,money,id,irs,sales,son,1
3398,card,information,irs,sales,wife,1
3399,dollars,id,irs,gift,husband,1
3400,insurance,address,message,gift,dad,1
3401,money,account,problem,sales,son,1
3402,bank,address,irs,sales,husband,1
3403,warrant,id,irs,gift,son,1
3404,bill,address,problem,telemarketer,son,1
3405,money,account,irs,sales,husband,1
3406,money,id,irs,sales,son,1
3407,dollars,information,irs,course,son,1
3408,insurance,address,help,gift,son,1
3409,insurance,id,irs,system,husband,1
3410,insurance,account,help,sales,son,1
3411,bank,id,support,gift,son,1
3412,warrant,details,irs,service,son,1
3413,card,id,police,sales,son,1
3414,money,id,irs,gift,son,1
3415,bill,id,irs,sales,son,1
3416,credit,address,help,offer,son,1
3417,money,account,message,gift,wife,1
3418,money,id,irs,course,son,1
3419,bill,id,support,sales,son,1
3420,insurance,id,problem,service,son,1
3421,money,id,help,site,mother,1
3422,bill,id,security,sales,son,1
3423,bill,id,problem,course,husband,1
3424,bank,id,message,sales,son,1
3425,money,address,security,gift,wife,1
3426,insurance,account,irs,gift,son,1
3427,money,account,problem,program,son,1
3428,insurance,id,irs,gift,son,1
3429,bill,id,support,sales,son,1
3430,warrant,id,message,sales,son,1
3431,money,details,support,site,son,1
3432,insurance,id,irs,gift,husband,1
3433,warrant,account,irs,gift,son,1
3434,insurance,id,arrest,sales,mother,1
3435,insurance,id,support,offer,son,1
3436,bill,id,irs,sales,son,1
3437,dollars,information,support,gift,son,1
3438,insurance,id,problem,sales,wife,1
3439,insurance,id,irs,gift,husband,1
3440,bill,id,irs,sales,son,1
3441,money,id,police,sales,son,1
3442,money,id,access,service,son,1
3443,money,id,irs,gift,son,1
3444,money,id,police,service,husband,1
3445,dollars,account,problem,service,son,1
3446,taxes,id,accident,sales,husband,1
3447,bill,id,irs,sales,son,1
3448,dollars,account,problem,offer,son,1
3449,dollars,address,irs,gift,son,1
3450,bank,id,irs,sales,wife,1
3451,insurance,id,police,activity,husband,1
3452,bank,details,problem,gift,son,1
3453,insurance,id,police,sales,parents,1
3454,dollars,id,problem,gift,son,1
3455,dollars,information,problem,service,son,1
3456,insurance,id,irs,course,children,1
3457,warrant,id,irs,system,children,1
3458,money,account,government,site,son,1
3459,money,account,irs,gift,husband,1
3460,money,address,irs,offer,son,1
3461,credit,id,support,gift,husband,1
3462,bill,id,security,course,son,1
3463,bank,id,help,sales,husband,1
3464,bank,id,irs,sales,husband,1
3465,bill,details,irs,service,son,1
3466,money,account,irs,sales,son,1
3467,dollars,id,help,course,husband,1
3468,bank,account,irs,sales,son,1
3469,money,id,message,sales,son,1
3470,card,account,irs,sales,son,1
3471,bill,address,message,course,wife,1
3472,dollars,id,help,service,son,1
3473,bank,id,irs,gift,husband,1
3474,warrant,id,irs,gift,husband,1
3475,money,id,irs,course,husband,1
3476,dollars,id,arrest,gift,son,1
3477,bank,id,police,gift,husband,1
3478,bank,id,police,order,parents,1
3479,taxes,id,message,gift,children,1
3480,bank,id,irs,course,husband,1
3481,card,account,irs,gift,mother,1
3482,insurance,id,irs,sales,son,1
3483,insurance,id,irs,gift,son,1
3484,bill,details,support,offer,son,1
3485,insurance,account,irs,sales,son,1
3486,money,account,irs,gift,parents,1
3487,bill,id,irs,sales,son,1
3488,money,id,irs,sales,son,1
3489,bank,id,virus,sales,son,1
3490,insurance,id,police,gift,son,1
3491,bank,information,accident,sales,son,1
3492,bill,id,irs,sales,son,1
