Scam Record,Content
82,"“Hi, I’m Fake Name calling from the police department. Has anyone contacted you about this matter?”
I know how calls like that generally go, the scammer will claim there’s a warrant for my arrest, but if I pay with Amazon gift cards the warrant will go away. But I had spare time, so decided to mess with him.
Me: Yeah, the CIA did, but I managed to dodge their agents with the help of a NSA hack targeted through NRO spy satellites.
Scammer: The… CIA?
It went on from there, me spinning a fantastic tale involving every spy agency I could think of, ending with the claim I’d launched a cruise missile at"
83,"A couple of years ago I was getting e-mails from scammers trying to tell me that I owed their (non-existent) client money I borrowed from what is known as a PayDay loan. The e-mails were ridiculously easy to identify as scams. The text was all different colors and fonts. Supposedly they were from law offices yet were telling me that a warrant had been issued for my arrest and the cops would be coming within 24 hours. The only scary part was that they had my Social Security number, my address and phone number, and even my driver's license number correct (except for missing the last digit). I pr"
84,"While watching TV the Microsoft scammer calls me . I decided to see if I could frustrate him.
He starts telling me I had to go to certain files on my computer. I start playing the dumbest person in the world.
Uh how do I get to the C drive.
He tries to direct me.
Wait I don’t see what you are saying. When I go to my computer all I see are folders. Oh wait, I see one called, zuma is that the one?
He starts to weaken after 5 minutes of this.
I allow him to direct me a little more. He wants me to go to a certain file. I keep telling him I don’t see it. Could it be under a different name. Maybe it’s in"
85,"What is the oddest conversation you've had with a telephone scammer?
Me, at home: “XYZ Enterprises, may I help you?”
Them: “This is Microsoft . . .”
Me: “What is your credit card number, expiration date and security code on the back?”
Them: “What?”
Me: “What is your credit card number” . . . etc.?”
Them: “This is Microsoft . . .”
Me: “Please hold for the IT department, have your credit card number ready for billing purposes. (In the same breath and no voice changes) IT Department, what is your credit card number?"
86,"Not a telephone scammer but I got blacklisted by the telesales insurance companies after I told them I'd been decapitated by a Ferrari driver while I was driving my Ary by Imagine car and that the accident wasn't my fault. Surprisingly, the calls stopped coming 8 times a day after that. Some still didn't get the memo and they got some other weird accident I wasn't involved in. My aim was to keep them talking, spinning some silly things until I dropped the bombshell of the imaginary car or that I was trying to jump over a space hopper on a pogo stick while wearing roller skates for a guiness wo"
87,"I had a sound board of Judge Judy on my computer. It had audio clips from her show where she said a great variety of things, and I only had to click on one for the caller to hear her say it. It went something like this:
""Hello? I am calling from Microsoft about a serious security….""
""Just a minute young man. Who do you think you're speaking to? I am a judge and I can have you locked up right now to think things over.""
""Ma'am? I'm from Microsoft and you need to know that..""
""I'm a lot older than you and a lot smarter. You can't come in here with that sort of rubbish. Do you have any actual receipts"
88,"On July 20, 2000, I answered the telephone. The person asked for my mother. I told him she was unavailable. I asked what they needed. The person said they were calling because she had promised to finish paying for the magazine subscriptions and had not done so. I was taking care of her bills. I asked what the subscriptions were, when she took them out, and other pertinent questions.
The person was getting impatient. He said, “When I spoke to her two weeks ago, she said she would send a money order by the end of the week.” So, I asked if if he spoke to her after July 1st? He said yes.
My response"
89,"This telephone conversation happened exactly 1 year back. that is when i completed 3 months in my new job in Ireland. Now still working here in Ireland.
<Phone Rings from number - (01) 496 6787>
Caller: Am i Speaking to Siva Prakash
ME: Yes ! Speaking.
C: We found recently that, you filled your Immigration form incorrectly in Immigration and Border control in India. We need exact details why did do such mistake ?
I got puzzled, immediately connected my phone to head phones."
90,"The caller ID said Washington DC.
Me- Hello
Caller (heavy Chinese accent) - Hello, I calling to inform you that you a good citizen, US govment say you qualify for one hunnit thousan US dollah good citizen grant. Free money, you unnerstan?
Me - But I’m not a good citizen. I’m very anti-government.
Caller - No, no, US govment tell me you good citizen, you get One hunnit thousan US dollah!
Me- Sorry, I’m not interested.
Caller- You not unnastan! You get one hunnit US dollah free! You good citizen!"
91,"When I was about 24, I got a call from a young man who said we’d met at a party and he got my number from a friend. I knew this was a lie immediately, because first, I didn’t party, and second, he was calling me by my name instead of my nickname, which is all I was known by outside the phone book. I’d recently moved home from a couple years in a big city, and I was feeling easily amused that early evening — in a world not as paranoid as the one I live in now — so I let it go on, casually chatting with him about all kinds of things.
Most my friends were men, and I had known men to try this picku"
92,"Actually have a 'killed with kindness' moment.
I worked tech support before I ended up disabled and if tech support and collections was soul crushing, it's hard for me to fathom how awful scamming is.
So when I picked up and it was a bit of an elderly lady on the phone, I didn't immediately advertise the fact I knew it was a scam. I let her finish her spiel.
And then I asked her if she was okay. She was confused, and I said ‘You sound like a really nice person, and nice people don't work for these companies without a reason'
Just. Silence. I wondered if she hung up. 'hello?’"
93,"I totally scammed a man trying to fix my Windows. He told me it had viruses. I played dumb, and I pretended that my real windows were infected and sneezing. I told him that I can’t get them to stop making noise, and that each time they sneezed, they shut violently,
“No Ma’am your windows computer,” he clarified.
“Sir, do you have antibiotics or not? I’m so glad you called.”
“No ma’am, computer.”
He was agitated now. I kept him on the line, then I finally logged into an old computer, which I had created a batch file for. I asked for an email address for me to send him money. He was probably still t"
94,"I'm just sitting in my office at work one day looking at YouTube videos, I mean production reports when my cellphone rings.
A guy with a thick Indian accent is on the other end.
“Helloo,” he said. “My name is Steve, and I am calling about the service to your compooter.”
“You're name is what?”
“My name is Steve, and I'm calling about the recent service to your compooter!”
“No, it's not!”
“I'm sorry, what did you say?”"
95,"This is actually with an email scammer. One day, I got an email from a good friend saying she was being held hostage in Egypt and needed me to send $10,000 for ransom.
I responded, “No you aren’t.”
”I am! I’d pay them myself, but my purse was left in a taxicab! They’re going to kill me if you don’t pay them today!”
”You’re not in Egypt. You just left my house. You obviously aren’t [friend].”
”Yes I am!”
So at this point, I switched to Spanish. The friend and I had been missionaries together and spoke fluently in Spanish. “How did we meet?”"
96,I didn't actually recieve this call but did end up getting involved. I wanted to share it because people need to know that this is happening. My father is in his eighties and received a call one day from a person claiming to be my son who was in his late twenties. The connection was bad and my dad had trouble hearing and understanding the person. I think this was planned. My dad started asking questions which actually ended up giving this person information to work with. As I said they claimed to be my son and also to be in jail. They said it was a misunderstanding and needed bail money to get
97,"OK, I had some fun with a credit card scammer today. It was the usual thing with a robocall telling me I could get a reduced interest rate on my credit card and I should press 1 to speak to an agent. So I pressed 1.
Scammer: Hello, I'm here to help you reduce your interest rate. {quite a heavy accent that I couldn't really place}
Me: {speaking in a high quavery voice - Think Robin Williams in Mrs Doubtfire} Helloo, are you there? I'm sorry but I'm a wee bit hard of hearing so you'll have to speak slowly and clearly. I know that's such a bother, isn't it, but these problems happen when you get ol"
98,"In Brazil is becoming quite common to do fake kidnaps…
I’m in my mom’s house, with my wife and daughter when my cellphone rings.
The first thing I hear is a girl’s crying voice saying “Dad, I fell and I’m hurt” just to be interrupted by a man’s voice…
Guy: Your daughter fell and she’s hurt
Me: Really? Where are you? I’ll go pick her up!
Guy: Don’t worry she’s here with me. I’ll not hurt her.
Me: Ok, I believe you. Just tell me where you are and I’ll go meet you and pick her up.
Well, it’s back and forth for a while, me trying to make him to commit saying anywhere and him trying to bully me onto b"
99,"I was at a beach house, on vacation.
Telemarketer: Hello Sir, I’m calling from Direct TV with an exciting program!
Me: Oh yeah? do tell!
T: Well, this program is great, <blah blah blah> and you can pay however you want!
M: wait… However I want?
T: that's right!
M: Could I <quietly> pay with nickles? </q>
T: <pause> I… I think so.
M: Could you check? It’s kind of important.
T: Ummm, ok."
100,"Most of the time we just block and hang up. But occasionally, we are in the mood for some fun.
I have pretended to be a burglar who answered the phone because I did not want it to wake anyone up. Nope, I don’t care if you send the police, because I will be gone before they get here.
I have faked a bit of an Irish accent and played with them. “Oh, honey, I’m just a poor old widow lady” who doesn’t have any money for “all those new-fangled things” like computers.
I have faked utter confusion. Windows? “Oh, no, I don’t need new windows. I just replaced all of them last year.” No, no, I am sure “they"
101,"Not necessarily the oddest, but by the end I could tell the guy was holding back a big “oh shit”.
Me: Hello?
Scammer (female): Hello. My name is _____. How are you?
M: I'm good, how are you?
S (f): I'm doing fantastic thank you for asking! I'm calling because you have been invited to our grand opening of (whatever made up company name, I've forgotten) as a VIP guest!
It was then I knew what this was. I had gotten many of this exact call, just with a different number each time. So it didn't matter that I blocked the number constantly. And they always say “I'm doing fantastic thank you for asking” if"
102,"I keep scammers on the phone as long as I can (up to 30 minutes), so the time wasted with me, is time that they aren’t spending duping someone who is gullible. If I get them mad enough to curse me out, usually in Hindi, using the techniques below, they will likely delete my number from their database to prevent other scam employees from having their time wasted.
I don’t get scam calls very often, because my numbers have been on the National Do Not Call Registry
list since soon after its conception (June 2003). When telemarketers call, I demand to talk to a supervisor and threaten legal action f"
103,"A couple of years ago I began getting voicemails on my cell phone from the IRS telling me that they were suing me and to call back some 800 number before it was too late.
My thing is, I will not answer an unknown number or blocked number or a number I don’t recognize and it doesn’t pop up a name in my address book. So right off these jerks have their work cut out for them if they wanna scam me.
There are some things I know or are pretty damn sure of in life. That the IRS would call a cell phone number never officially provided them and leave a voicemail saying that they are suing me.
Legally, you"
104,"Years ago, one of the commonest scams you’d get by phone in the UK was the “Boiler Room” - someone posing as an “investment advisor” who would try to sell you shares in some ridiculous company, usually at a few pence per share - “but the price s about to rocket, believe me!”…
So, phone rings:
Me: ""Hello""
Him: ""Can I speak to Jan Vander?"" (pronouncing the 'J')
Me: (Heart already sinking) ""Speaking - and it's pronounced 'Yan', not 'Jan'...""
Him: ""Hello, Jan"" (still pronouncing the 'J' because firstly what I said was off-script, and secondly he isn't interested in what I say anyway) ""How are you this"
105,"Don’t know if my experience qualifies as oddest or not, but was certainly an interesting one for me and my colleagues:
I reside in Delhi and often travel for short duration due to my work. For one such project I had to travel to Navi Mumbai where I was working for almost 3–4 months. During this time I bought a local prepaid sim to save on phone expenses. This was in 2012 when mobile call and roaming charges used to be fairly high. Because this local connection was not registered with Do Not Disturb (DND) service, I used to receive lots of calls from sales rep on a daily basis and it had started"
106,"I have one phone line that only gets scammers calling. I usually don’t answer, but once in a while, I do - just to have fun. One idiot called to announce that he was from the URRRRRRS, I was in big trouble over taxes I owed the government, and police were on the way to arrest me. Whoever he was working for hadn’t even bothered to tell him how to pronounce the IRS.
Hilarious. I decided to have some fun. Here’s how our conversation went:
Me: Credit card number, please.
Idiot: What?
Me: Give me your credit card number.
Idiot: What?
Me: How many do you wish to order?
Idiot: What?
Me: Most people ord"
107,"I was having trouble with my computer, I was waiting for a return call from Geek Squad to get assistance with some issues I was having. Which would have included them virtually controlling my computer, I’ve worked with Geek Squad before, I was ready for that.
Phone rings, its someone telling me there was a problem with my computer. Said he was from Microsoft. I was confused - sure, I really was expecting a call about my computer, but Microsoft? I asked if he was with Geek Squad. “No ma’am, Microsoft.”
I asked again, but slightly different - Was he REFERRED to me by Geek Squad? I mean, this reall"
108,I was once pestered by a firm selling “fine wines” with glossy brochure and fancy head office address to match. I did some research on them and discovered that they had been in trouble before and were on at least one blacklist for “scamming”. When the next call came from what sounded like a very polite youngish (English) man I decided to ask him whether he realised that his company had been in trouble and gave him the details. There was a very shocked silence followed by a very quiet apology and his saying that he had had absolutely no idea about this; he then promised me that he was going to
109,"I got one of the usual calls from some company that I don’t remember.
I was feeling on a crusty mood, so I went on my own sales rant, almost not stopping for breath:
“It’s really great that you have got through to me because in my spare time I am a marketing agent for a company which manufactures a fantastic electronic device which reduces the effect of continuous phone calls on your inner ear which as I’m sure you know can affect the most delicate parts of your brain leading to a number of irreversible psychological conditions including migraines and loss of balance and a sort of buzzing sound"
110,"I make it a habit of scaring the hell out of them when I’m at home. I always have my tablet set up to my sound bar or speakers. When I get that Microsoft scammer or saying I won a trip I will play along with it for a while then I will say
Wait…someone is coming
Then play a loud jarring sound from my speakers and hang up. I usually go with the five nights at Freddy’s scream or a koala mating noise. (Which is actually horrifying if you have never heard it.)
I also have a knack for guilt tripping them.
Me: you are hacking me I just know it!
Scammer: this is no scam I work for Microsoft and your comput"
111,"Fair warning, I was a wee bit insensitive to thick Hispanic accents in this story, but I didn’t want to change anything in my story, so I’m going to tell it as close as I can to what I remember.
So for a couple weeks I was getting call in the early morning 5 and 6 am. and at the time I was dealing with some really bad night terrors, so I wasn’t getting much sleep. These people would call me once an hour from 5am to about 5pm it was driving me nutty. because these people would start calling me just as I was finally getting to go to sleep after struggling all night, and then they wouldn’t leave m"
112,"a - Hello, I am calling from xxx to discuss financial planning
me - Hi, I am so glad you called back
a - we haven;t spoken before but I am…
me - sorry to interrupt you but what did you think of the offer ?
a - I think you are mistaken I am calling…
me - It really is the best offer we can make and I think you would really enjoy the food and the atmosphere. I’ll send you over the payment link straight away. Which email address should i use ?
a - no really I think you are mistaken. I am calling about…
me - (interrupting again) Look, the price is great, the venue is good for you and the food is excellent"
113,"Probably when I threatened to hunt them and their office down and show up there and punch someone in the mouth. I was sitting at home on my computer like I am now and I got a phone call which I did not answer. Instead I let the answering machine get it. Then, ten minutes later I get another call from the same number. I received five more calls after those first two, each ten minutes apart with no message being left. I decided that was enough and so I called the number and started to get some automated operator and so I hit “O” to see if I could get a real person which I did. I told the lady wh"
114,"I had lady call me once offering life, health and funeral insurance. I told her I didn't need it but she argued, per her script, that I indeed did. I then proceeded to explain I did , indeed, not on account of my membership of the Church of Hyperspace Scienceology, as founded by His Holy Eminence, Professor the Reverand Bob Dalton, which obviated the need for insurance on three counts:
That as a member of the Church of Hyperspace Scienceology, as founded by His Holy Eminence, Professor the Reverand Bob Dalton, we did not need health insurance because we were immune to earth born diseases or age"
115,"I recently retired from the DMV, where I titled and renewed vehicle licenses. And collected taxes. I’ve had numerous voicemails on my cell phone from scammers who use the fake IRS ploy. One day while on my 10 minute break, my phone rang. And I recognized the number as one that had just left a fake IRS voicemail. So I answered it. The scammer started the same spiel, saying I owed a large amount of"
116,"Okay, this is gonna be hilarious. My dad and I scammed a scammer sooo hard that I am sure that he won't do it again…
It was a Sunday morning. The electricity was out, and having nothing to do, we sat there, staring at the dusty ceiling in our home. Dad's phone rang and the true caller flashed Spam. My dad attend to ca anyways and put it on speakerphone.
It started out like this: “It’s your lucky day, Mr Prasoon (my dad's name), you have won the once in a lifetime opportunity to be the winner of 1 crore rupees.”
My dad and I giggled. Having nothing to do, we pretended to be stupid.
Dad: OMG, I can'"
117,"I’m going to try some of the other ones here, but my best one is this:
Wife daughter and I are going to the store, when the wife’s phone rings and we don’t recognize the number…
(thick Indian accent) Scammer (I picked up): Hello, this is Ryan McMurray from medical reimbursement. Have you had any surgeries in the past year? You may be eligible for reimbursement.
Me: I have had a couple, are there any in particular that would qualify me?
(I turn on speakerphone at this point)
S: Yes, we understand that you may have had a hernia surgery recently. Is that correct?"
118,"I got a call a couple years ago from someone to claim to work from Brooks and Abrhams a collection company. They told me i had like ten minutes to pay them $300 or they were going to freeze my bank account and take all the money.
I asked who was this bill for that they were trying to collect? They said, “Bank of America.” I lived in Wisconsin where there wasn’t even Bank of Americas so I got suspec"
119,"Two answers - but first let me say that I don’t know if either was a scammer: telemarketer, yes, but not necessarily scammer.
I had recently googled how to deal with telemarketers, and read the idea of keeping a loud whistle by the phone, putting down the receiver and walking away for half an hour or so, telling them that whoever they were looking for wasn’t there any more, but this was his/her new number (and giving the number for the jail or prison), and was fascinated by one that was described like a game, in which you earn “points” for trying to sell the telemarketer on his/her own product,"
120,"Caller: “Hello! My name is (unpronouncable indian sounding name along with accent) from Telstra support. There has been some illegal activity reported from your PC sir.”
Me: “Really?”
Caller: “Your internet will be disconnected unless this problem is resolved.”
Me: “Interesting. Telstra doesn't usually ring me, and if there is a problem, have to sit on hold until my ear hurts.”
Caller: “We can fix this sir. Are you at your computer now?”
Me: “No.”"
121,"Questions like these highlight the importance of Common Sense in Life…..
One fine evening, I received a call from a person. It was a Land Line Number so, Truecaller being a good boy, showed me its location (some place in Odisha).
The Conversation goes as follows:
ME: Hello?
HE: Good Evening Sir, We are calling from SBI. Am I Speaking to Mr. Rohit Kumar?
ME: Yes, How may I help you?"
122,"I love Shakespeare, and have developed a knack for making up Shakespearian language on the fly. I also get a lot of scam calls, so one day, I decided to use my Shakespearian talents to give one of those scammers a surreal experience.
Scammer: “Hi, I’m calling becau-”
Me (in a frivolous British accent)- “Hello, this is Reginald Worthington McCalister III, singer of songs, winner of Mr. Congenieality at the battle of Westmount Shire, and heartthrob of the womenfolk. I would inquire as to thy intentions in calling me via an electronic telecommunications device, but a gentleman such as myself must r"
123,A while back I got the CRA about my taxes and a pending arrest. I was a bit bored so played along. He verified my address was correct when I gave a false address. I got a bit hung up with the postal code for I could not off the top of my head make one up so We gave my valid postal code B4B1S7. He immediately said thats not valid. Well I was a bit better with numbers so gave hime a string of seven random digits which verified as valid. Then we got into the meat of how much I was due to pay and how difficult it would be for me to come up with money. Of couse I got the lecture of arrests etc. I p
124,"Having cops in the family and knowing about paid telebeggers I feel no guilt about this.
Scammer: hello, I am calling to ask for your support for the local area police whatever’s campaign to spread the word on the hazards of drunk driving. Could we count on you for a donation of $50?
Me: Well you just made me aware so why do you need money from me?
Scammer: It is a month long campaign and we want to reach as many people as possible to save lives. Can we count on your support of a monetary donation of $50?
Me: How will my money help? Do you want to buy ad space on a billboard? TV commercials?"
125,"I don’t know if it was a scammer. It happened just after the death of a relative for whom I was the executor of the estate. It happened only once and although my caller id gave me a name the person on the phone wouldn’t. They called on my cell phone and the conversation went something like this.
Me: Hello?
Them: Are you xxxx xxxxx?
Me: Who is calling?
Them: I can only tell that to xxxx xxxx. Are you xxxx xxx?
Me: I will only answer that if I know who is calling."
126,i had stranger - a guy aged about twenty five rang me. I had no idea of who he was or how he got my number. I am a middle aged female and live alone. This guy told me that he wants to meet me and we are going to have mad passionate sex all night. He just needs me to take down his address and go to his place and spend the night with him tonight. Wow. I had a quick think and said sure why not. But I must tell you something. I am a nun and I live in a convent. I would have to sneak out and get past the mother superior. She is just about to go into her room for a good drinking session. They play p
127,"This was “odd” in the sense that these calls would cease entirely if everyone had the presence of mind to do what I did this time:
The caller was one of those evil people who purport to be from Microsoft and thereby try to hijack your computer over the phone. I say OK, give me a minute to get to my computer.
He totally buys it.
I set down the phone and go back to making dinner. Three minutes later, I pick up the phone again and say ""Hold on a minute, it's taking some time booting up. You're right, there must be something wrong.""
Two minutes later, I pick up the phone again and say ""OK, I see an em"
128,"I have had an unlisted number for many years and also list my number on the Do Not Call register. So I do not often get marketing calls.
However, a notable exception was the one who talked for quite a few minutes about their really great product that would beautify my home and at the same time provide insulation against our tropical summer heat.
So even though I did not plan on buying anything, I was listening and asking questions. I did repeatedly ask what the product was and not just listen to the account of how good it was.
After about 15 minutes, they finally asked whether the exterior of m"
129,"We were in college, the hostel.. newly acquired phones meant some scam calls too. So this is what happened when someone called up a girl, read a girl with a great sense of humour.
He (Scammer): I am deeply in love with your voice.
She: I don't believe you. Prove it.
He: How can I prove it to you? You tell me what you want me to do.
She: Listen I will talk to you later and tell you what I want. You kno"
130,"Thanks for the A2A Sean Kernan :)
Funny and true phone conversation with a scammer...
Note: I usually I don't answer calls from numbers I don't know, but when you get multiple calls a day from these crazies, going on for more than a year, I figured I’d answer, in hopes of stopping the madness.
Me: Hello
Caller: “Hello please don't hang up this is not a sales call. This is an important call in regards to your Master Card...blah blah blah...hit 9 to speak with a representative.”
Me: (after the 4th call today) I hit 9."
131,"Me: There are 3,743 errors logged on this computer
Him: OMG! How many?!?
Me: (with a bit of pride) 3,743. But understand, this is a development machine and I'm a tester. I'm supposed to produce errors.
Him: Give me remote access so I can fix it.
Me: Ha! Fat chance! But you did mention that it was my Toshiba that had a virus? I'll gladly pay you money to sabotage it but whatever you do don't clean it.
Him: what?
Me: My ex-girlfriend stole it from me a couple years ago. Hearing that it has a virus is the best news I've had all day."
132,"I had one of those calls once where they tell you your computer has been infected and you need to give them remote access so they can fix it for you.
Well, usually I just put the phone down but this particular time I decided to string them along a little.
I played the dumb user and asked them where I would find my login information so I could give it to them. So they started telling me where to go and after each instruction I would go away for several minutes, come back and say ‘sorry, I don’t seem to have that command’
After about the third or forth go, he eventually got frustrated and said ‘wha"
133,"I lived in my husband grandmothers house with him. I once had a very persistent scammer tell me that his grandmother had ordered a kitchen to be fitted, and that he had to take the last payment before it could be installed.
He was very rude, he wouldn’t let me explain or contradict him in any way. I asked him when she had ordered the kitchen, he very abruptly told me it had been six months ago.
I asked him to clarify, he gave me her full name, the address and everything. I asked him if he was a psychic as by this point my husbands grandma had been dead for about four years.
He started backtrackin"
134,"Oddly, as I was reading this question, I got a call from a scammer.
Hello?
Mr. Wells?
Who’s calling?
This is Rachel* from BT - you know - British Telecom. From next month your line rental and package will be reduced . . .
Let me stop you right there - you see, Mr Wells died a few years ago so you must be a scammer. Am I right?
(Angrily) No! You know very well, I called you Mrs. Wells.
Well, let’s take a look at that, shall we? To start with, I’m a man."
135,"Thanks for the A2A.
This convo I had a few years back with a telephone scammer was the worst.
I was off work for a few days and was trying to get a part-time job so I was just in my bed resting a bit."
136,"Yeap! I remember 2 such incidents, happened via house phone about 10 years back.
Conversation goes like this:
Man( foreign accent mandarin speaking) : miss, you have won a prize of 1 million.
Me: oh ya? How come? I didn't buy any lottery.
Man: oh , it is a lucky draw. But you have to send me a $5000 to process your prize. You have to be quick. It's for a limited time.
Me: is that right, tell you what, since I have 1 million there, why don't you use my 1 million, take the $5000 from it. Or how about you pay first , I give you another $10000? Good deal? Yes?"
137,"I just love this question!
For some reason, the scammer knows my name - perhaps because I owned several business licenses which are public and include names and numbers.
10:30 PM, in bed, almost asleep… phone rings.
T: Hello?
S(cammer): Hello, Mr, Lacy, my name is Robert, and I am calling from Microsoft because we found a virus on your computer. (in a very heavy Indian accent.
T: You’re not from Microsoft, I have no virus, and I doubt that your name is Robert. I’m guessing Mahesh, maybe Prasenjit. This makes you a liar."
138,"I am fortunate enough to own one of the very few vacant lots in my city. A guy called one afternoon to offer me a new roof and solar panels, for an undisclosed (but no doubt wonderful) price. He wanted to send out an estimator as soon as possible.
I got really enthusiastic, and made an appointment for early the next morning …
I lucked out. The estimator was too short to see over the 6′ fence, so I unlocked the gate and let him and his clipboard in.
“B-but there's no house here!”
“I know that. What's the roof and solar panel system going to cost?”
I'm pretty sure I ruined two people's day."
139,"If I have nothing better to do I love it when the scammers call. There are the ones who tell you you have been hurt in an accident and they can help you get compensation. With these guys I spin them along with a breathless tale of how my “accident” happened, building up to the fact that I am speaking to them from heaven, and am in fact, dead. The Telecoms or Microsoft people who need to get hold of my computer in order to rescue it: for them I pretend to open a laptop; I say I don’t know anything about computers and I’m very worried and can they help me? Of course they can! Eventually I preten"
140,"We get lots of calls from Microsoft, Telstra (phone company) and the Tax office.
My husband had a marvellous conversation with one ‘microsoft’ scammer. He asked the Indian caller “Does your mother know that you steal from people with these scam calls? Is she proud of you? I'm sure she would be ashamed if she knew what you were doing”. He replied “yes she knows and I even give her some of the money I earn so of course she is happy”. Hubby then said “You know, India has many more rich people than Australia. There are many more millionaires in India. Why don't you call them and steal their money?”"
141,"I have a love/hate relationship with these callers. The constant calls (at least once per day) get boring really fast but if I'm in the mood I love playing with them! I will waste their time (I have plenty) and run them through the mill!
My favourite is the computer scam -” we've detected a fault on your computer! Just let us have remote access to your computer and we can fix it""(and empty your bank account)! I just wish I had the skill and knowledge to hack their computers and spread the joy! I've seen on YouTube a computer technician do that and it looks fun!
I had a call once and I was in the"
142,"I usually mess with phone scammers to the point they lose their temper, however I did communicate for several weeks with an email scammer that needed my help in the transfer of several million dollars that belonged to someone who died but they being the only living relative needed someone not in the country where it was held to take care of the transaction… I've seen this scam many times before so played along with them asking every question I could think of regarding legitimacy and legality, I convinced him that because of the nature of it we should use code names and code words in further co"
143,"I do some voice over projects and have a couple sites where I download sound effects and various recordings. Anyway I was done for the day, my phone rings and my nomorerobo app tells me it is a sales call. Lacking adult supervision (wife not home) I quickly search for ”Porno sounds”, click play, and answer the phone. I then spent the next 15 minutes playing a couple different audio clips, while this clown tried to convince me to buy an extended warranty to a pickup I don't own anymore. Every couple minutes I would tick up the volume a little more. Finally he asked what was going on? “just work"
144,"I wouldn’t call it odd, but about 2 months ago I went to pick up my grandmother and noticed someone was doing something to her computer via remote access. Knowing my grandmother isn’t all there, I asked her what was going on and she told me a story about someone calling from Microsoft.
As soon as she said that, I pulled the ethernet cord and began working on reversing whatever settings were changed to allow the person to access it remotely. After a minute the phone rang, it was the person who convinced my grandmother to let them access her computer. When she handed me the phone, I started playi"
145,"I live in the Atlanta area and tbere’s One that’s been going around for several months. You answer the phone and it's an actual human and he says, ""Hello is Reina there?"" And when you say ""No"" or ""You've got the wrong number"" he launches into his spiel of ""Oh well then maybe you can help me. I'm collecting funds for the American Firefighter's BLAHBLAHBLAH..."" And it's always the same guy, same voice. So it happened at work 3 weeks ago. I answered...same ""Hello is Reina there?"" and I immediately cut him off with ""NO and if you say 'Well then maybe you can help me"" I swear to you... I have a ver"
146,"Before “Microsoft” switched to robo callers they had human beings call you. Hello this is Microsoft, we have detected a problem with your windows computer. Of course it isn’t Microsoft, it’s the scammers. If you are a good little chump and follow their instructions to allow them complete access to your computer they will pretend to “fix” your computer and charge you a pile of money, they will basi"
147,"Caller: hi can I speak to the person the pays the electric bill?
Me: No she not here right now can I take a message?
Caller: do you have authorization to make changes to the MET-ED electric account?
Me: No but she should be back soon. she had to go to the doctors to get laser hemorrhoid treatments and after that she will be going to work. if you really need to speak to her you can call her at work after 3pm. Here is her work number 717-233-1100 just ask for chocolate drop:
Caller: um oh ok where does she work.
Me: Oh she is a pole dancer at the Savannah's strip club. her outfit pinched her hemorrho"
148,"We had a young man from Kenya staying with us who was being evaluated for a cochlear implant because he became profoundly deaf when he was 10, probably from a combination of untreated diseases and ototoxic drugs used to treat HIV+. I got a telemarketing call right at dinner time for about the 4th time in a row and when the caller asked for me I said “Hold on a sec, I’ll get him.” Then I put our young Kenyan friend on the phone. “Helloooooooo” he said and I could hear the start of the telemarketer’s spiel, all of which fell on deaf ears. Our young friend was pretty good at faking conversations,"
149,"How about this one:
Scammer: “Hi Grandpa” (I had no grandchildren).
Me: “Who is this?”
Scammer: “It’s your grandson. I need help. I need you to send me some money right away.”
Me (deciding to have some fun): “What’s your name?”
Scammer: “Harry” (which was my father’s name; he had found a name associated with mine somewhere).
Me: “Harry? That’s my father, and he died over a year ago.” (Which was true)."
150,"A few years ago I was in Washington DC, I had just “visited” a friend on the Viet Nam memorial. My phone rang and found it was a person who claimed he was an IRS employee and that I needed to pay $800 or the police would arrest me. I told him that he was in luck as I was only a few blocks from the IRS office and I could drop off a check. He said “Oh, no, no, you must send it to me via FedEx” I told him, No, I’ll just bring it to your office, what floor are you on? He again told me I had to Fed ex it to him. I was getting tired of this BS so I asked him his name, some foreign sounding word. I s"
151,"This was… partly on my phone, but through text messaging.
Firstly, I'm an indie photographer and videographer, so my name and number is up in a bunch of places looking for work. Jobs are often short term or single project, so I have to keep it up.
I got a text message from a company saying it was Mitsubishi Chemical, and that they are looking for a photographer, so they found me through indeed, and wanted to do an interview with me to see if I would work for the position.
I said sure, and they ran me through some questions. They were pretty real, things like asking about how much experience I hav"
152,"Its really a sad state of affairs when a question like this gets so many responses but at the risk of it never even getting read I still hope it will help someone. This is not my experience, but I was involved.
My sis works in a hospital and one of the nurses came up to her in a panic and asked if there was ANY WAY she could let her borrow $600.00. This was during the height of the recession and ev"
153,"Had a fellow with a heavy South Asian accent (India? Pakistan?) call with the USA Internal Revenue Service tax scam.
He: “Your assets are about to be seized and you will be arrested if you do not immediately submit a payment by credit card. May I have your payment method now to avoid these consequences?”
Me: “Oh my God! Can you give me a little more time? The anesthesiologist is here to prep me for brain-tumor surgery. I've got a 50/50 chance of survival, and I don't want this to be a burden to my wife who has to administer my estate if die! Can we settle it in a month if I'm alive?”
He, very ups"
